transcript_id|annotation,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENST00000263388|NOTCH3-201_full_length_MANE,3586,3076,2458,4224,9675,1567,6037
ENST00000282397|FLT1-201_mFlt1_full_length,2,28,15,15,9,13,29
ENST00000323926|FN1-201_EDA_EDB_plus,71364,45299,74965,89599,59222,127800,53970
ENST00000336916|FN1-202_46exon,71364,45299,74965,89599,59222,127800,53970
ENST00000354785|FN1-203_canonical_MANE,70929,45014,74558,89126,58849,126862,53549
ENST00000356005|FN1-204_44exon,70928,45012,74557,89126,58847,126861,53547
ENST00000357867|FN1-205_EDA_EDB_minus,71364,45299,74965,89599,59222,127800,53970
ENST00000359671|FN1-206_45exon,71363,45299,74965,89598,59219,127797,53970
ENST00000421182|FN1-207_45exon,71367,45301,74966,89603,59225,127805,53970
ENST00000426059|FN1-208_short,21975,19954,2923,25249,24562,57844,25449
ENST00000432072|FN1-209_45exon,70929,45014,74558,89126,58849,126862,53549
ENST00000443816|FN1-211_45exon,70936,45022,74566,89134,58852,126867,53552
ENST00000446046|FN1-212_46exon,70936,45022,74566,89134,58852,126867,53552
ENST00000539099|FLT1-202_NMD,0,0,0,0,0,0,0
ENST00000540678|FLT1-203_partial,1,0,1,0,4,2,4
ENST00000541932|FLT1-204_sFlt1_e15a,0,2,5,20,2,1,9
ENST00000543394|FLT1-205_partial,1,0,1,0,4,2,4
ENST00000595514|NOTCH3-203_NMD,363,338,193,458,1048,184,633
ENST00000597756|NOTCH3-204_truncated,443,442,242,579,1080,186,608
ENST00000601011|NOTCH3-206_truncated,116,96,34,120,400,53,258
ENST00000615840|FLT1-207_sFlt1_i13,4,44,22,84,22,20,86
ENST00000617835|FLT1-208_short,1,1,1,2,4,2,4
ENST00000639477|FLT1-209_sFlt1_i14,3,27,19,55,15,13,58
ENST00000706527|FLT1-210_partial,1,0,1,0,4,2,4
